Yêu cầu sửa đổi,Giải pháp thực hiện,Tên phiên bản,Thời gian xây dựng
"Dọn phụ thuộc, tài liệu và code chết","Bổ sung openpyxl và cryptography vào requirements.txt, giữ beautifulsoup4 kèm lý do; đồng bộ phiên bản 1.4.0 ở README/config.py/manifest.xml; sửa README chỗ khuyên dùng gemini-2.0-flash vốn trả 429 limit:0; viết HUONG_DAN_KIEN_THUC.md; xoá analyze_and_save/list_profiles/delete_profile không còn ai gọi","1.4.0","05-08-2026 00:35:00"
"Sửa thông báo lỗi 429 báo sai bản chất","Lỗi hết hạn mức THEO NGÀY bị báo thành 'gọi quá nhanh, chờ 1 phút' vì code chỉ tách trường hợp limit:0; Google còn trả kèm retry_delay 58s cho cả lỗi theo ngày nên càng dễ nhầm. Bóc quota_id/limit/model từ thông báo để tách ba loại: limit:0, PerDay, PerMinute; sửa luôn thông báo lỗi 404 vốn khuyên đặt lại đúng model đang lỗi","1.4.0","05-08-2026 09:05:00"
"Đổi model mặc định do hạn mức miễn phí quá thấp","Đo thực tế: gemini-flash-latest trỏ tới gemini-3.6-flash chỉ còn 20 lượt/ngày (~6 thư); gemini-2.5-flash và 2.5-flash-lite trả 404 vì Google ngừng cấp cho key mới; chuyển mặc định sang gemini-3.1-flash-lite (~0,7s/lượt) và ghi rõ đánh đổi trong config.py, .env.example, README","1.4.0","05-08-2026 09:05:00"
"Add-in không hiện nút ribbon sau khi cài manifest","Chẩn đoán: Invoke-WebRequest tới icon add-in trả 'Could not establish trust relationship' — Windows không tin chứng chỉ tự ký nên Outlook không tải được icon ribbon; kho Cert:\CurrentUser\Root không có mục localhost nào; cache Wef còn dấu vết bản v1.3 và manifest mới dùng lại y nguyên Id GUID cũ vốn không có VersionOverrides","1.4.1","05-08-2026 11:35:00"
"Bổ sung phần mở rộng chứng chỉ mà WebView2 yêu cầu","Chứng chỉ cũ chỉ có subjectAltName; thêm basicConstraints CA=true (bắt buộc để Windows chấp nhận chứng chỉ tự ký nằm trong kho Root), keyUsage kèm keyCertSign, extendedKeyUsage serverAuth và subjectKeyIdentifier","1.4.1","05-08-2026 11:35:00"
"Chống sinh đè chứng chỉ ngoài ý muốn","Sinh lại chứng chỉ tạo khoá và thumbprint mới, làm mất hiệu lực bản đã cài vào Trusted Root — đây là bẫy đã gây ra chính sự cố này; tao_chung_chi_addin.py nay kiểm tra chứng chỉ hiện có và chỉ ghi đè khi truyền --force","1.4.1","05-08-2026 11:35:00"
"Tự động hoá việc cài chứng chỉ vào Trusted Root","Thêm cai_chung_chi.py và CAI_CHUNG_CHI.bat dùng certutil -user -addstore Root (không cần Admin); tự gỡ các chứng chỉ localhost cũ khác thumbprint và tự kiểm chứng bằng kết nối HTTPS thật với ssl.create_default_context thay vì tin vào mã trả về của certutil","1.4.1","05-08-2026 11:35:00"
"Đổi Id GUID của add-in để thoát cache Outlook","Outlook khoá add-in theo Id nên vẫn phục vụ metadata đã cache của bản v1.3 không có VersionOverrides; đổi Id sang 0d0daf77-eba5-4a54-9569-c2fa18eac48c và nâng Version lên 1.4.1.0","1.4.1","05-08-2026 11:35:00"
"Thêm công cụ tiền kiểm tra điều kiện chạy add-in","kiem_tra_addin.py và KIEM_TRA_ADDIN.bat kiểm tra 18 mục: hạn và phần mở rộng chứng chỉ, chứng chỉ có trong Trusted Root, cổng 8765, icon tải được qua HTTPS tin cậy, token, API key, kho tri thức, và cấu trúc manifest; mỗi mục không đạt in kèm câu lệnh sửa cụ thể; tách mức bắt buộc và mức cảnh báo","1.4.1","05-08-2026 11:35:00"
"Thư nháp không theo định dạng HTML của email, giao diện xấu","Ba nguyên nhân chồng nhau: (1) bản nháp không khai báo font nên Outlook dựng bằng font mặc định trình duyệt, lệch hẳn với chữ ký và phần trích dẫn; (2) thẻ p trần bị Outlook áp khoảng cách đoạn của Word; (3) lớp lọc HTML thêm ở v1.4.0 xoá sạch thuộc tính style nên bản nháp không thể mang định dạng nào. Thêm _format_email_html gắn style inline và cho phép style qua danh sách trắng thuộc tính CSS","1.5.0","05-08-2026 12:20:00"
"Model nhỏ trả text trần làm cả thư dính liền một khối","gemini-3.1-flash-lite hay trả văn bản thuần ngăn bằng ký tự xuống dòng thay vì thẻ p, mà xuống dòng trần không tạo ngắt đoạn trong HTML; thêm _paragraphize bọc các đoạn văn bản trần ở cấp cao nhất vào thẻ p và chuyển xuống dòng đơn thành br, chuẩn hoá ở tầng code nên không phụ thuộc model có tuân thủ prompt hay không","1.5.0","05-08-2026 12:20:00"
"Tinh chỉnh bản nháp nhiều lần làm HTML phình ra","refine_draft đưa lại bản đã định dạng nên mỗi lượt lại bọc thêm một lớp div và nối chồng thuộc tính style; thêm bước gỡ wrapper cũ và hợp nhất style theo từng thuộc tính thay vì nối chuỗi, đã kiểm thử chạy 3 lần liên tiếp cho kết quả không đổi","1.5.0","05-08-2026 12:20:00"
"Ô soạn thảo nền tối làm chữ đen không đọc được","Bản nháp nay mang style inline color:#000000 để khớp Outlook; đổi ô soạn thảo ở cả ứng dụng desktop và task pane sang nền trắng chữ đen, đồng thời cho xem trước đúng như thư sẽ hiển thị thật","1.5.0","05-08-2026 12:20:00"
"Không tìm thấy chức năng học văn phong","Chức năng vốn nằm sâu trong hộp thoại Cài đặt của ứng dụng desktop; bổ sung vào task pane của add-in dưới dạng tác vụ nền có thanh tiến độ theo lô, mở lại pane vẫn bắt được tiến độ đang chạy dở; thêm tham số progress cho analyze_style, lớp StyleJob và hai endpoint POST /api/learn-style, GET /api/learn-style/status; bổ sung mô tả vị trí nút trong HUONG_DAN_SU_DUNG.md","1.5.0","05-08-2026 12:20:00"
"Cho phép cấu hình font thư nháp","Thêm DRAFT_FONT_FAMILY, DRAFT_FONT_SIZE, DRAFT_TEXT_COLOR trong config.py đọc từ .env; mặc định Calibri 11pt là font soạn thảo mặc định của Outlook","1.5.0","05-08-2026 12:20:00"
"Học văn phong bị bó ở 120 thư và chỉ học được vỏ, không học được nội dung","Kiến trúc cũ bắt LLM làm việc đếm rồi hợp nhất nhiều hồ sơ con, khiến chi tiết bị trừu tượng hoá thành khuôn trống ('Dear CH,' thành 'Dear [Name],') và càng nhiều dữ liệu càng nhạt; chuyển sang tách đôi: Python đếm chính xác trên toàn bộ hộp thư, còn việc hiểu nội dung giao cho công cụ AI ngoài đọc toàn văn","1.6.0","05-08-2026 14:40:00"
"Gỡ ba giới hạn ngầm khiến chỉ quét được 462 thư","Bỏ điều kiện len(body)>=40 làm mất hết thư trả lời ngắn; thêm max_len=0 cho strip_quoted_text vì mức cắt 3000 ký tự làm cụt đúng những thư dài giàu thông tin nhất; mở rộng từ Sent Items mặc định sang mọi kho qua namespace.Stores. Đo thực tế: 4 kho, 163 thư mục, 20697 mục","1.6.0","05-08-2026 14:40:00"
"Bỏ sót thư mục lưu trữ tên 'Sent item' số ít","Danh sách tên cứng chỉ khớp 'sent items' nên bỏ qua 178 thư trong kho 2025; thay bằng so khớp tiền tố is_sent_folder_name; đồng thời bỏ qua Inbox khi tìm thư đã gửi vì đó là hơn một phần ba khối lượng mà chắc chắn bị loại hết","1.6.0","05-08-2026 14:40:00"
"Thêm backend/style_stats.py đếm thống kê văn phong","Nhận diện chữ ký, câu chào, câu kết, cụm từ n-gram và độ dài kèm tần suất thật, không AI, không trần số thư; vòng lặp tìm chữ ký dừng ở câu kết vì nếu không nó nuốt luôn câu kết và dòng thân thư hay lặp","1.6.0","05-08-2026 14:40:00"
"Chữ ký nhiều biến thể làm hỏng bảng cụm từ và thống kê độ dài","Người dùng có cả bản chữ ký ngắn lẫn bản đầy đủ của công ty; loại theo một chuỗi cố định chỉ bỏ được biến thể phổ biến nhất, khiến 12/12 cụm từ đặc trưng đều là mảnh vụn chữ ký và độ dài sai thành 25 câu mỗi thư; chuyển sang tách chữ ký theo TỪNG thư bằng split_corpus. Sau sửa: cụm từ ra đúng ngôn ngữ nghiệp vụ, độ dài về 8 câu","1.6.0","05-08-2026 14:40:00"
"Thêm công cụ xuất thư xuat_thu_da_gui.py + XUAT_THU.bat","Xuất mỗi thư thành cặp 'thư đến - bạn đã trả lời'; phần thư đến lấy từ chính trích dẫn nằm sẵn trong thư gửi đi nên không tốn thêm lần gọi COM; kèm đề bài viết sẵn cho Antigravity và bảng số liệu đã đếm. Chạy thử: 1206 thư trong 31 giây","1.6.0","05-08-2026 14:40:00"
"Tệp xuất quá vụn và quá lớn","Lần chạy đầu ra 172 tệp (57 tệp chỉ có 1 thư) và 8,28 MB, có tệp 547 KB cho 2 thư do chuỗi chuyển tiếp lồng nhau tới 17187 dòng; thêm cắt phần trích dẫn ở 3000 ký tự (phần người dùng viết vẫn không cắt) và gom nhóm dưới 5 thư vào tệp chung. Kết quả: 47 tệp, 3,46 MB, tệp lớn nhất 346 KB","1.6.0","05-08-2026 14:40:00"
"Hướng dẫn văn phong theo từng loại thư","Thêm kien_thuc/loai_thu/ với dòng '**Từ khoá nhận diện:**' mà backend đọc được; match_email_type bỏ dấu rồi đếm từ khoá trúng, từ khoá dài ưu tiên khi hoà, không khớp thì dùng khac.md; toàn bộ là so khớp chuỗi cục bộ nên không tốn lượt gọi AI. Tệp tên bắt đầu bằng số được coi là tài liệu, không phải một loại thư","1.6.0","05-08-2026 14:40:00"
"Thay luồng phân tích văn phong cũ","Xoá analyze_writing_style và merge_writing_styles khỏi ai_engine.py; analyze_style thành export_sent_emails (0 lượt gọi AI); StyleJob thành ExportJob giữ nguyên cơ chế chạy nền có thanh tiến độ; _format_style nay nhận cả list chuỗi (hồ sơ v1/v2) lẫn list dict kèm tần suất (v3) và in kèm phần trăm, tránh TypeError","1.6.0","05-08-2026 14:40:00"
"00_TONG_QUAN.md đang phân chia các nhóm chủ đề quá nhỏ và không hợp lý, cần phân chia rộng hơn theo các nhóm: Yêu cầu rà soát / yêu cầu phản hồi / Báo cáo / thẩm định mặt bằng và các đề xuất khác tương tự","Thay topic_key (lấy từ đầu tiên của chủ đề, sinh ra 41 nhóm vô nghĩa kiểu 'ra'/'check'/'kiem' và 257 thư rơi vào rổ nhóm nhỏ) bằng classify_topic dựa trên bảng TOPIC_RULES gồm 12 nhóm mục đích viết thư; khớp từ trên xuống, nhóm đầu tiên trúng từ khoá thì thắng; từ khoá lưu dạng không dấu và so khớp cũng bỏ dấu nên gõ có dấu hay không đều nhận ra","1.7.0","05-08-2026 15:20:00"
"Nhóm phải gom được cả thư có chủ đề vô nghĩa","Bỏ nhãn hệ thống trong ngoặc vuông ([KSTT WCM], [Request ID :##RE-473581##]) trước khi khớp vì chúng có mặt ở rất nhiều thư và kéo mọi thứ về cùng một nhóm; chủ đề không đủ manh mối thì đọc thêm 400 ký tự đầu thân thư — nhờ đó nhóm 'Chủ đề khác' giảm từ 68 xuống 18 thư","1.7.0","05-08-2026 15:22:00"
"Kết quả phân nhóm phải đúng ý định viết thư","Tinh chỉnh thứ tự ưu tiên sau khi đo trên 1040 chủ đề thật: xếp 'Giải trình' trên 'Kiểm tra kiểm kê' để 'Giải trình về việc KKFF' vào đúng nhóm giải trình; bỏ từ khoá 'tham dinh' đứng một mình vì còn 'thẩm định sự vụ'; dùng 'kiem soat ch' thay 'kiem soat' để không nuốt 'Phương án phối hợp kiểm soát'; thêm nhóm 'Yêu cầu cung cấp thông tin & hồ sơ'","1.7.0","05-08-2026 15:24:00"
"Bỏ cơ chế gom nhóm nhỏ đã thừa","Xoá MIN_GROUP_SIZE và tệp 98_nhom_nho: nhóm 'Chủ đề khác' đã làm đúng vai trò rổ chứa, còn giữ lại thì một nhóm có tên rõ ràng như 'Đề xuất & trình phê duyệt' (15 thư) lại bị đổ vào rổ vô danh; thứ tự tệp nay theo TOPIC_RULES nên đọc 01 đến 21 là đi theo một mạch nghiệp vụ","1.7.0","05-08-2026 15:26:00"
"Tên tệp và kích thước phần chia phải gọn","slugify cắt ở ranh giới từ thay vì cắt giữa từ (he-thong-cong-cu-ho-tro-noi thành he-thong-cong-cu-ho-tro-noi-bo); thêm split_chunks chia đều thành các phần xấp xỉ bằng nhau, hết cảnh phần đuôi chỉ có 2-3 thư","1.7.0","05-08-2026 15:28:00"
"Lỗi phát hiện khi kiểm thử: cùng một hộp thư cho hồ sơ văn phong khác nhau giữa các lần chạy","collect_phrases sắp xếp theo (-số từ, -tần suất) nên các cụm đồng hạng giữ nguyên thứ tự chèn vào dict, vốn đến từ việc duyệt set và phụ thuộc hash chuỗi được ngẫu nhiên hoá mỗi tiến trình; 2/20 lần chạy cho kết quả lệch. Thêm chính khoá cụm từ vào cuối khoá sắp xếp để thứ tự là toàn phần; 20/20 lần chạy đạt sau khi sửa","1.7.0","05-08-2026 15:30:00"
"Đồng bộ phiên bản và tài liệu","Nâng 1.6.0 lên 1.7.0 ở config.py, addin/manifest.xml, README.md, HUONG_DAN_SU_DUNG.md; HUONG_DAN_KIEN_THUC.md bổ sung cách sửa bảng TOPIC_RULES; đề bài trong 00_TONG_QUAN.md sửa lại cho biết thư đã gom sẵn theo mục đích và công cụ AI được phép tách hoặc gộp nhóm","1.7.0","05-08-2026 15:32:00"
"Khi lựa chọn AI soạn email thì không có lựa chọn mẫu thư hay AI tự lựa chọn","Thêm ô chọn Mẫu thư vào cả bảng soạn thư của ứng dụng desktop lẫn task pane add-in: mặc định 'AI tự chọn theo nội dung thư' giữ nguyên cơ chế khớp từ khoá cũ, chọn tay một mẫu thì lựa chọn của người dùng đè lên kết quả tự khớp. Trước đây match_email_type chạy hoàn toàn ngầm nên người dùng không thấy và không can thiệp được","1.8.0","05-08-2026 17:05:00"
"Cần biết cuối cùng AI dùng mẫu thư nào","Bổ sung KnowledgeBase.list_types (nhãn hiển thị lấy từ dòng tiêu đề '# ' đầu tệp, loại dự phòng khac xếp cuối) và type_title; API trả thêm email_type, email_type_title, email_type_auto sau mỗi lần soạn để giao diện hiện 'AI đã chọn mẫu X' hay 'Dùng mẫu X'","1.8.0","05-08-2026 17:07:00"
"Chọn mẫu không tồn tại không được làm hỏng việc soạn thư","match_email_type nhận thêm tham số forced; tên không có trong kho thì bỏ qua và tự khớp như thường thay vì báo lỗi, vì tệp loại thư có thể vừa bị xoá hay đổi tên trong lúc giao diện còn giữ danh sách cũ","1.8.0","05-08-2026 17:09:00"
"Nối tiếp lựa chọn qua đường add-in","Thêm endpoint GET /api/email-types và cho POST /api/generate-reply nhận trường email_type; task pane nạp danh sách một lần lúc Office.onReady, kho rỗng thì khoá ô chọn và chỉ đường chạy XUAT_THU.bat","1.8.0","05-08-2026 17:11:00"
"Danh sách mẫu thư ở ứng dụng desktop phải nạp đúng thời điểm","DraftEditor nạp danh sách khi MỞ BẢNG soạn thư chứ không nạp lúc khởi động vì pywebview chưa sẵn sàng ở thời điểm đó; nạp lỗi thì bỏ cờ để lần mở sau thử lại. Thẻ option của ô chọn phải đặt nền tường minh, không thừa hưởng nền kính mờ, nếu không chữ trắng nằm trên nền trắng","1.8.0","05-08-2026 17:13:00"
"Kiểm thử và đồng bộ tài liệu","Thêm test_chonmau (13 mục: liệt kê, tự chọn, chọn tay đè tự khớp, tên sai, thông tin trả về) và test_endpoint chạy backend thật trên cổng 8766 để không đụng backend đang chạy của người dùng; nâng 1.7.0 lên 1.8.0 ở config.py, manifest.xml, README.md, HUONG_DAN_SU_DUNG.md; bổ sung mô tả ô chọn mẫu thư vào HUONG_DAN_SU_DUNG.md và HUONG_DAN_KIEN_THUC.md","1.8.0","05-08-2026 17:15:00"
"Tôi muốn tạo icon chạy ngầm ở khay hệ thống tương tự UniKey, chỉ hiển thị bảng desktop app khi gọi lên mà không hiện ở taskbar","Thêm tray.py dựng NotifyIcon của System.Windows.Forms qua pythonnet — gói này pywebview đã kéo theo nên KHÔNG thêm phụ thuộc mới; main.py --tray tạo cửa sổ với hidden=True và gắn NotifyIcon trong sự kiện before_show vốn chạy đồng bộ ngay trên GUI thread, nhờ đó dùng luôn vòng lặp thông điệp có sẵn thay vì mở Application.Run thứ hai","1.9.0","06-08-2026 11:30:00"
"Bấm nút X phải thu về khay chứ không thoát","Gắn window.events.closing trả về False để huỷ lệnh đóng rồi gọi window.hide; cờ quitting cho phép menu Thoát đi xuyên qua. Nút thu nhỏ giữ nguyên hành vi cũ vì làm cả hai dễ gây bất ngờ khi người dùng chỉ muốn tạm cất cửa sổ","1.9.0","06-08-2026 11:32:00"
"Icon khay phải dùng được mà không phát sinh tệp mới","Nạp icon bằng Bitmap(png).GetHicon rồi Icon.FromHandle, không sinh tệp .ico vì Icon của .NET Framework xử lý kém các khung ICO nén PNG; clone icon rồi DestroyIcon handle gốc để không rò HICON. Dùng addin/assets/icon-16.png cho khay và icon-32.png cho cửa sổ","1.9.0","06-08-2026 11:34:00"
"Icon khay quản lý luôn backend add-in","BackendProcess chạy addin_server.py như tiến trình con bằng pythonw.exe kèm CREATE_NO_WINDOW, log đổ vào data/logs/addin_server.log; giữ addin_server.py nguyên vẹn nên CHAY_ADDIN_BACKEND.bat vẫn dùng độc lập được, và lỗi trong máy chủ HTTP không kéo sập giao diện","1.9.0","06-08-2026 11:36:00"
"Không được khởi động backend chồng lên bản đang chạy","Dò cổng bằng cách KẾT NỐI THỬ tới 127.0.0.1:8765 chứ không dựa vào bind: addin_server đặt allow_reuse_address = True, trên Windows khi cả hai bên cùng đặt SO_REUSEADDR thì bind vẫn thành công đè lên cổng đang nghe — tiến trình mới in banner như đã khởi động trong khi tiến trình cũ mới là bên trả lời, token lệch nhau nên task pane báo 401 khó hiểu. Kiểm thử tái hiện đúng tình huống này","1.9.0","06-08-2026 11:38:00"
"Khởi động cùng Windows, bật tắt được","AutoStart tạo lối tắt .lnk trong thư mục Startup của người dùng qua WScript.Shell, không cần quyền Admin và người dùng tự xoá được bằng shell:startup; đường dẫn thư mục tiêm được để kiểm thử không đụng vào Startup thật","1.9.0","06-08-2026 11:40:00"
"Lỗi phát hiện khi chạy thử: chống chạy trùng không có tác dụng","claim_single_instance trả handle nhưng lời gọi 'if claim_single_instance() is None' dùng xong là bỏ, PyHANDLE bị thu gom và tự đóng nên mutex tan ngay — mở bản thứ hai vẫn giành được. Lưu handle vào biến toàn cục giữ suốt vòng đời tiến trình. Đồng thời đổi namespace Global sang Local vì tạo đối tượng trong Global đòi quyền SeCreateGlobalPrivilege mà tài khoản thường không có","1.9.0","06-08-2026 11:42:00"
"Lỗi phát hiện khi chạy thử: chạy bằng pythonw.exe thì ứng dụng chết im lặng","Khi chạy tách rời qua start, sys.stderr KHÔNG phải None mà là luồng dùng bảng mã theo locale (cp1252); ghi log tiếng Việt vào đó ném UnicodeEncodeError, rồi logging lại in traceback vào chính luồng hỏng ấy nên ngoại lệ thứ hai giết tiến trình trước cả khi kịp tạo cửa sổ. Ép sys.stderr.reconfigure errors=replace trước khi gắn StreamHandler, và bọc main trong try/except ghi log — nhờ chỗ bọc này mới lộ ra nguyên nhân","1.9.0","06-08-2026 11:44:00"
"Tài liệu và phiên bản","Thêm CHAY_NGAM.bat chạy pythonw.exe main.py --tray; README.md và HUONG_DAN_SU_DUNG.md thêm mục chạy ngầm kèm bảng menu khay và mục xử lý sự cố chỉ tới data/logs/; nâng 1.8.0 lên 1.9.0 ở config.py, addin/manifest.xml, README.md, HUONG_DAN_SU_DUNG.md. Không cần sửa .gitignore vì data/ đã được che sẵn","1.9.0","06-08-2026 11:46:00"
"Hãy tư vấn các phương án đóng gói file chương trình thành 1 exe duy nhất","Đo thực tế ba phương án trước khi chọn: --onefile thuần cho ra 44 MB nhưng khởi động 20,5 giây MỖI lần (ổn định qua 3 lần đo, không phải cache lạnh) vì phải bung ~800 tệp ra %TEMP% và phần mềm bảo vệ quét lại từng tệp; --onedir chỉ 6,9 giây nhưng là thư mục 159 MB. Chọn bộ cài tự bung: exe onefile rất nhỏ chỉ dùng thư viện chuẩn (khởi động 2 giây) với gói ứng dụng dạng zip nối vào đuôi tệp exe","2.0.0","06-08-2026 13:50:00"
"Kiểm chứng kỹ thuật nối zip vào đuôi exe trước khi xây","zipfile của Python đọc được zip nối sau dữ liệu khác vì nó dò End Of Central Directory từ cuối tệp, và bootloader của PyInstaller vẫn tìm ra archive của nó dù bị nối 45 MB phía sau — dựng thử và chạy 3 lần để xác nhận trước khi bắt tay vào sửa mã","2.0.0","06-08-2026 13:52:00"
"Tách đường dẫn tài nguyên khỏi đường dẫn dữ liệu","Thêm paths.py: RES_DIR trỏ vào gói PyInstaller (chỉ đọc, bị xoá khi thoát) còn DATA_ROOT trỏ vào %LOCALAPPDATA%\TroLyEmail. Trước đó config.py dùng chung một BASE_DIR cho cả hai nên sau khi đóng gói thì data, certs, kien_thuc và .env sẽ nằm trong thư mục tạm và mất sạch khi tắt máy. Chạy từ mã nguồn thì hai đường dẫn vẫn trùng nhau nên toàn bộ kiểm thử cũ không phải sửa","2.0.0","06-08-2026 13:54:00"
"load_dotenv không tìm thấy .env sau khi đóng gói","find_dotenv của python-dotenv rơi về os.getcwd() khi phát hiện sys.frozen, mà thư mục làm việc lúc chạy từ lối tắt Startup là System32; phải truyền đường dẫn tường minh ở config.py và addin_server.py","2.0.0","06-08-2026 13:56:00"
"Backend add-in không spawn được tiến trình con trong bản đóng gói","Tách create_server() khỏi main() của addin_server.py; BackendProcess thêm nhánh chạy bằng thread khi sys.frozen, dừng bằng shutdown() cộng server_close(). Gọi lại sys.executable ở chế độ onefile sẽ bung nén toàn bộ gói lần thứ hai, gấp đôi bộ nhớ lẫn thời gian khởi động","2.0.0","06-08-2026 13:58:00"
"Một exe thay cho bảy tệp bat","main.py thêm bộ điều phối: --cua-so, --thiet-lap, --xuat-thu, --kiem-tra, --addin-server; bản đóng gói mặc định chạy ngầm ở khay. Vì exe dựng ở chế độ windowed nên không có console, các lệnh chẩn đoán phải tự gọi AllocConsole rồi mở lại CONOUT$, nếu không kết quả in ra hư không","2.0.0","06-08-2026 14:00:00"
